Steps,Timestamp,Date,Datetime,Hour
0,1556636940,2019-05-01,2019-05-01 00:09:00+09:00,0
0,1556637060,2019-05-01,2019-05-01 00:11:00+09:00,0
0,1556637660,2019-05-01,2019-05-01 00:21:00+09:00,0
0,1556638260,2019-05-01,2019-05-01 00:31:00+09:00,0
0,1556638860,2019-05-01,2019-05-01 00:41:00+09:00,0
0,1556639460,2019-05-01,2019-05-01 00:51:00+09:00,0
0,1556640060,2019-05-01,2019-05-01 01:01:00+09:00,1
0,1556640660,2019-05-01,2019-05-01 01:11:00+09:00,1
0,1556641260,2019-05-01,2019-05-01 01:21:00+09:00,1
0,1556641860,2019-05-01,2019-05-01 01:31:00+09:00,1
0,1556642460,2019-05-01,2019-05-01 01:41:00+09:00,1
0,1556643060,2019-05-01,2019-05-01 01:51:00+09:00,1
0,1556643660,2019-05-01,2019-05-01 02:01:00+09:00,2
0,1556644260,2019-05-01,2019-05-01 02:11:00+09:00,2
0,1556644860,2019-05-01,2019-05-01 02:21:00+09:00,2
0,1556645460,2019-05-01,2019-05-01 02:31:00+09:00,2
0,1556646060,2019-05-01,2019-05-01 02:41:00+09:00,2
0,1556646660,2019-05-01,2019-05-01 02:51:00+09:00,2
0,1556647260,2019-05-01,2019-05-01 03:01:00+09:00,3
0,1556647860,2019-05-01,2019-05-01 03:11:00+09:00,3
0,1556648460,2019-05-01,2019-05-01 03:21:00+09:00,3
0,1556649060,2019-05-01,2019-05-01 03:31:00+09:00,3
0,1556649660,2019-05-01,2019-05-01 03:41:00+09:00,3
0,1556650260,2019-05-01,2019-05-01 03:51:00+09:00,3
0,1556650860,2019-05-01,2019-05-01 04:01:00+09:00,4
0,1556651460,2019-05-01,2019-05-01 04:11:00+09:00,4
0,1556652060,2019-05-01,2019-05-01 04:21:00+09:00,4
0,1556652660,2019-05-01,2019-05-01 04:31:00+09:00,4
0,1556653260,2019-05-01,2019-05-01 04:41:00+09:00,4
0,1556653860,2019-05-01,2019-05-01 04:51:00+09:00,4
0,1556654460,2019-05-01,2019-05-01 05:01:00+09:00,5
0,1556655060,2019-05-01,2019-05-01 05:11:00+09:00,5
0,1556655660,2019-05-01,2019-05-01 05:21:00+09:00,5
0,1556656260,2019-05-01,2019-05-01 05:31:00+09:00,5
0,1556656860,2019-05-01,2019-05-01 05:41:00+09:00,5
0,1556657460,2019-05-01,2019-05-01 05:51:00+09:00,5
0,1556658060,2019-05-01,2019-05-01 06:01:00+09:00,6
0,1556658660,2019-05-01,2019-05-01 06:11:00+09:00,6
0,1556659260,2019-05-01,2019-05-01 06:21:00+09:00,6
0,1556659860,2019-05-01,2019-05-01 06:31:00+09:00,6
0,1556660460,2019-05-01,2019-05-01 06:41:00+09:00,6
0,1556661060,2019-05-01,2019-05-01 06:51:00+09:00,6
0,1556661660,2019-05-01,2019-05-01 07:01:00+09:00,7
0,1556662260,2019-05-01,2019-05-01 07:11:00+09:00,7
0,1556662860,2019-05-01,2019-05-01 07:21:00+09:00,7
0,1556663460,2019-05-01,2019-05-01 07:31:00+09:00,7
0,1556664060,2019-05-01,2019-05-01 07:41:00+09:00,7
0,1556664660,2019-05-01,2019-05-01 07:51:00+09:00,7
0,1556665260,2019-05-01,2019-05-01 08:01:00+09:00,8
0,1556665860,2019-05-01,2019-05-01 08:11:00+09:00,8
0,1556666460,2019-05-01,2019-05-01 08:21:00+09:00,8
0,1556667060,2019-05-01,2019-05-01 08:31:00+09:00,8
0,1556667660,2019-05-01,2019-05-01 08:41:00+09:00,8
0,1556668260,2019-05-01,2019-05-01 08:51:00+09:00,8
0,1556668860,2019-05-01,2019-05-01 09:01:00+09:00,9
0,1556669460,2019-05-01,2019-05-01 09:11:00+09:00,9
0,1556670060,2019-05-01,2019-05-01 09:21:00+09:00,9
0,1556670660,2019-05-01,2019-05-01 09:31:00+09:00,9
0,1556671260,2019-05-01,2019-05-01 09:41:00+09:00,9
0,1556671860,2019-05-01,2019-05-01 09:51:00+09:00,9
0,1556672460,2019-05-01,2019-05-01 10:01:00+09:00,10
0,1556673060,2019-05-01,2019-05-01 10:11:00+09:00,10
0,1556673660,2019-05-01,2019-05-01 10:21:00+09:00,10
304,1556674260,2019-05-01,2019-05-01 10:31:00+09:00,10
358,1556674860,2019-05-01,2019-05-01 10:41:00+09:00,10
