Steps,Timestamp,Date,Datetime,Hour
3180,1538450989,2018-10-02,2018-10-02 12:29:49+09:00,12
3404,1538458900,2018-10-02,2018-10-02 14:41:40+09:00,14
5237,1538474599,2018-10-02,2018-10-02 19:03:19+09:00,19
7113,1538484363,2018-10-02,2018-10-02 21:46:03+09:00,21
7113,1538489855,2018-10-02,2018-10-02 23:17:35+09:00,23
7113,1538491401,2018-10-02,2018-10-02 23:43:21+09:00,23
0,1538582214,2018-10-04,2018-10-04 00:56:54+09:00,0
0,1538584972,2018-10-04,2018-10-04 01:42:52+09:00,1
0,1538585680,2018-10-04,2018-10-04 01:54:40+09:00,1
0,1538586315,2018-10-04,2018-10-04 02:05:15+09:00,2
0,1538586920,2018-10-04,2018-10-04 02:15:20+09:00,2
0,1538587560,2018-10-04,2018-10-04 02:26:00+09:00,2
0,1538588161,2018-10-04,2018-10-04 02:36:01+09:00,2
0,1538588765,2018-10-04,2018-10-04 02:46:05+09:00,2
0,1538589376,2018-10-04,2018-10-04 02:56:16+09:00,2
11,1538590020,2018-10-04,2018-10-04 03:07:00+09:00,3
11,1538590681,2018-10-04,2018-10-04 03:18:01+09:00,3
11,1538591288,2018-10-04,2018-10-04 03:28:08+09:00,3
11,1538591903,2018-10-04,2018-10-04 03:38:23+09:00,3
11,1538592512,2018-10-04,2018-10-04 03:48:32+09:00,3
11,1538593134,2018-10-04,2018-10-04 03:58:54+09:00,3
11,1538593743,2018-10-04,2018-10-04 04:09:03+09:00,4
11,1538594351,2018-10-04,2018-10-04 04:19:11+09:00,4
11,1538594959,2018-10-04,2018-10-04 04:29:19+09:00,4
11,1538595567,2018-10-04,2018-10-04 04:39:27+09:00,4
11,1538596175,2018-10-04,2018-10-04 04:49:35+09:00,4
11,1538596794,2018-10-04,2018-10-04 04:59:54+09:00,4
11,1538597438,2018-10-04,2018-10-04 05:10:38+09:00,5
11,1538598062,2018-10-04,2018-10-04 05:21:02+09:00,5
11,1538598675,2018-10-04,2018-10-04 05:31:15+09:00,5
11,1538599278,2018-10-04,2018-10-04 05:41:18+09:00,5
11,1538599920,2018-10-04,2018-10-04 05:52:00+09:00,5
11,1538600532,2018-10-04,2018-10-04 06:02:12+09:00,6
11,1538601144,2018-10-04,2018-10-04 06:12:24+09:00,6
11,1538601763,2018-10-04,2018-10-04 06:22:43+09:00,6
11,1538602381,2018-10-04,2018-10-04 06:33:01+09:00,6
11,1538603040,2018-10-04,2018-10-04 06:44:00+09:00,6
11,1538603648,2018-10-04,2018-10-04 06:54:08+09:00,6
63,1538604304,2018-10-04,2018-10-04 07:05:04+09:00,7
75,1538604967,2018-10-04,2018-10-04 07:16:07+09:00,7
75,1538605859,2018-10-04,2018-10-04 07:30:59+09:00,7
75,1538607058,2018-10-04,2018-10-04 07:50:58+09:00,7
50,1538670840,2018-10-05,2018-10-05 01:34:00+09:00,1
15,1538671440,2018-10-05,2018-10-05 01:44:00+09:00,1
15,1538672040,2018-10-05,2018-10-05 01:54:00+09:00,1
15,1538672640,2018-10-05,2018-10-05 02:04:00+09:00,2
15,1538673240,2018-10-05,2018-10-05 02:14:00+09:00,2
15,1538673840,2018-10-05,2018-10-05 02:24:00+09:00,2
15,1538674440,2018-10-05,2018-10-05 02:34:00+09:00,2
15,1538675040,2018-10-05,2018-10-05 02:44:00+09:00,2
15,1538675640,2018-10-05,2018-10-05 02:54:00+09:00,2
15,1538676240,2018-10-05,2018-10-05 03:04:00+09:00,3
15,1538676840,2018-10-05,2018-10-05 03:14:00+09:00,3
15,1538677440,2018-10-05,2018-10-05 03:24:00+09:00,3
15,1538678040,2018-10-05,2018-10-05 03:34:00+09:00,3
15,1538678640,2018-10-05,2018-10-05 03:44:00+09:00,3
15,1538679240,2018-10-05,2018-10-05 03:54:00+09:00,3
15,1538679840,2018-10-05,2018-10-05 04:04:00+09:00,4
15,1538680440,2018-10-05,2018-10-05 04:14:00+09:00,4
15,1538681040,2018-10-05,2018-10-05 04:24:00+09:00,4
15,1538681640,2018-10-05,2018-10-05 04:34:00+09:00,4
15,1538682240,2018-10-05,2018-10-05 04:44:00+09:00,4
15,1538682840,2018-10-05,2018-10-05 04:54:00+09:00,4
15,1538683440,2018-10-05,2018-10-05 05:04:00+09:00,5
15,1538684040,2018-10-05,2018-10-05 05:14:00+09:00,5
15,1538684640,2018-10-05,2018-10-05 05:24:00+09:00,5
15,1538685240,2018-10-05,2018-10-05 05:34:00+09:00,5
15,1538685840,2018-10-05,2018-10-05 05:44:00+09:00,5
15,1538686440,2018-10-05,2018-10-05 05:54:00+09:00,5
15,1538687040,2018-10-05,2018-10-05 06:04:00+09:00,6
15,1538687640,2018-10-05,2018-10-05 06:14:00+09:00,6
15,1538688240,2018-10-05,2018-10-05 06:24:00+09:00,6
15,1538688840,2018-10-05,2018-10-05 06:34:00+09:00,6
15,1538689440,2018-10-05,2018-10-05 06:44:00+09:00,6
15,1538690040,2018-10-05,2018-10-05 06:54:00+09:00,6
15,1538690640,2018-10-05,2018-10-05 07:04:00+09:00,7
15,1538691240,2018-10-05,2018-10-05 07:14:00+09:00,7
15,1538691840,2018-10-05,2018-10-05 07:24:00+09:00,7
15,1538692440,2018-10-05,2018-10-05 07:34:00+09:00,7
15,1538693040,2018-10-05,2018-10-05 07:44:00+09:00,7
15,1538693640,2018-10-05,2018-10-05 07:54:00+09:00,7
15,1538694240,2018-10-05,2018-10-05 08:04:00+09:00,8
15,1538694840,2018-10-05,2018-10-05 08:14:00+09:00,8
