걸음;타임스탬프;날짜;시간
0;1540199838797;2018. 10. 22.;오후 6:17:18
0;1540200180000;2018. 10. 22.;오후 6:23:00
62;1540200780000;2018. 10. 22.;오후 6:33:00
62;1540201380000;2018. 10. 22.;오후 6:43:00
598;1540201980000;2018. 10. 22.;오후 6:53:00
1010;1540202580000;2018. 10. 22.;오후 7:03:00
1177;1540203180000;2018. 10. 22.;오후 7:13:00
1259;1540203780000;2018. 10. 22.;오후 7:23:00
1299;1540204380000;2018. 10. 22.;오후 7:33:00
1299;1540204980000;2018. 10. 22.;오후 7:43:00
1327;1540205580000;2018. 10. 22.;오후 7:53:00
1718;1540206180000;2018. 10. 22.;오후 8:03:00
1848;1540206780000;2018. 10. 22.;오후 8:13:00
1861;1540207380000;2018. 10. 22.;오후 8:23:00
1941;1540207980000;2018. 10. 22.;오후 8:33:00
2020;1540208580000;2018. 10. 22.;오후 8:43:00
2036;1540209180000;2018. 10. 22.;오후 8:53:00
2063;1540209780000;2018. 10. 22.;오후 9:03:00
2202;1540210380000;2018. 10. 22.;오후 9:13:00
2202;1540210980000;2018. 10. 22.;오후 9:23:00
2202;1540211580000;2018. 10. 22.;오후 9:33:00
2202;1540212180000;2018. 10. 22.;오후 9:43:00
2328;1540212780000;2018. 10. 22.;오후 9:53:00
2523;1540213380000;2018. 10. 22.;오후 10:03:00
2523;1540213980000;2018. 10. 22.;오후 10:13:00
2638;1540214580000;2018. 10. 22.;오후 10:23:00
3022;1540215180000;2018. 10. 22.;오후 10:33:00
3117;1540215780000;2018. 10. 22.;오후 10:43:00
3117;1540216380000;2018. 10. 22.;오후 10:53:00
3117;1540216980000;2018. 10. 22.;오후 11:03:00
3445;1540217580000;2018. 10. 22.;오후 11:13:00
3540;1540218180000;2018. 10. 22.;오후 11:23:00
3540;1540218780000;2018. 10. 22.;오후 11:33:00
4021;1540219380000;2018. 10. 22.;오후 11:43:00
4858;1540219980000;2018. 10. 22.;오후 11:53:00
5483;1540220340000;2018. 10. 22.;오후 11:59:00
5380;1540220340951;2018. 10. 22.;오후 11:59:00
517;1540220940000;2018. 10. 23.;오전 12:09:00
310;1540221060000;2018. 10. 23.;오전 12:11:00
310;1540221660000;2018. 10. 23.;오전 12:21:00
310;1540222260000;2018. 10. 23.;오전 12:31:00
310;1540222860000;2018. 10. 23.;오전 12:41:00
310;1540223460000;2018. 10. 23.;오전 12:51:00
310;1540224060000;2018. 10. 23.;오전 1:01:00
310;1540224660000;2018. 10. 23.;오전 1:11:00
310;1540225260000;2018. 10. 23.;오전 1:21:00
310;1540225860000;2018. 10. 23.;오전 1:31:00
310;1540226460000;2018. 10. 23.;오전 1:41:00
310;1540227060000;2018. 10. 23.;오전 1:51:00
310;1540227660000;2018. 10. 23.;오전 2:01:00
310;1540228260000;2018. 10. 23.;오전 2:11:00
310;1540228860000;2018. 10. 23.;오전 2:21:00
310;1540229460000;2018. 10. 23.;오전 2:31:00
310;1540230060000;2018. 10. 23.;오전 2:41:00
310;1540230660000;2018. 10. 23.;오전 2:51:00
310;1540231260000;2018. 10. 23.;오전 3:01:00
310;1540231860000;2018. 10. 23.;오전 3:11:00
310;1540232460000;2018. 10. 23.;오전 3:21:00
310;1540233060000;2018. 10. 23.;오전 3:31:00
310;1540233660000;2018. 10. 23.;오전 3:41:00
310;1540234260000;2018. 10. 23.;오전 3:51:00
310;1540234860000;2018. 10. 23.;오전 4:01:00
310;1540235460000;2018. 10. 23.;오전 4:11:00
310;1540236060000;2018. 10. 23.;오전 4:21:00
310;1540236660000;2018. 10. 23.;오전 4:31:00
310;1540237260000;2018. 10. 23.;오전 4:41:00
310;1540237860000;2018. 10. 23.;오전 4:51:00
310;1540238460000;2018. 10. 23.;오전 5:01:00
310;1540239060000;2018. 10. 23.;오전 5:11:00
310;1540239660000;2018. 10. 23.;오전 5:21:00
310;1540240260000;2018. 10. 23.;오전 5:31:00
310;1540240860000;2018. 10. 23.;오전 5:41:00
310;1540241460000;2018. 10. 23.;오전 5:51:00
310;1540242060000;2018. 10. 23.;오전 6:01:00
310;1540242660000;2018. 10. 23.;오전 6:11:00
310;1540243260000;2018. 10. 23.;오전 6:21:00
310;1540243860000;2018. 10. 23.;오전 6:31:00
310;1540244460000;2018. 10. 23.;오전 6:41:00
310;1540245060000;2018. 10. 23.;오전 6:51:00
310;1540245660000;2018. 10. 23.;오전 7:01:00
310;1540246260000;2018. 10. 23.;오전 7:11:00
310;1540246860000;2018. 10. 23.;오전 7:21:00
310;1540247460000;2018. 10. 23.;오전 7:31:00
310;1540248060000;2018. 10. 23.;오전 7:41:00
310;1540248660000;2018. 10. 23.;오전 7:51:00
670;1540249260000;2018. 10. 23.;오전 8:01:00
961;1540249860000;2018. 10. 23.;오전 8:11:00
961;1540250460000;2018. 10. 23.;오전 8:21:00
961;1540251060000;2018. 10. 23.;오전 8:31:00
961;1540251660000;2018. 10. 23.;오전 8:41:00
1103;1540252260000;2018. 10. 23.;오전 8:51:00
1252;1540252860000;2018. 10. 23.;오전 9:01:00
1252;1540253460000;2018. 10. 23.;오전 9:11:00
1252;1540254060000;2018. 10. 23.;오전 9:21:00
1388;1540254660000;2018. 10. 23.;오전 9:31:00
1656;1540255260000;2018. 10. 23.;오전 9:41:00
1817;1540255860000;2018. 10. 23.;오전 9:51:00
1827;1540256460000;2018. 10. 23.;오전 10:01:00
1827;1540257060000;2018. 10. 23.;오전 10:11:00
1837;1540257660000;2018. 10. 23.;오전 10:21:00
1855;1540258260000;2018. 10. 23.;오전 10:31:00
1926;1540258860000;2018. 10. 23.;오전 10:41:00
2082;1540259460000;2018. 10. 23.;오전 10:51:00
2082;1540260060000;2018. 10. 23.;오전 11:01:00
2543;1540260660000;2018. 10. 23.;오전 11:11:00
2785;1540261260000;2018. 10. 23.;오전 11:21:00
2785;1540261860000;2018. 10. 23.;오전 11:31:00
3086;1540262460000;2018. 10. 23.;오전 11:41:00
3157;1540263060000;2018. 10. 23.;오전 11:51:00
3157;1540263660000;2018. 10. 23.;오후 12:01:00
3157;1540264260000;2018. 10. 23.;오후 12:11:00
3157;1540264860000;2018. 10. 23.;오후 12:21:00
3168;1540265460000;2018. 10. 23.;오후 12:31:00
3267;1540266060000;2018. 10. 23.;오후 12:41:00
3267;1540266660000;2018. 10. 23.;오후 12:51:00
3267;1540267260000;2018. 10. 23.;오후 1:01:00
3267;1540267860000;2018. 10. 23.;오후 1:11:00
3267;1540268460000;2018. 10. 23.;오후 1:21:00
3267;1540269060000;2018. 10. 23.;오후 1:31:00
3267;1540269660000;2018. 10. 23.;오후 1:41:00
3267;1540270260000;2018. 10. 23.;오후 1:51:00
3267;1540270860000;2018. 10. 23.;오후 2:01:00
3267;1540271460000;2018. 10. 23.;오후 2:11:00
