걸음수;타임스탬프(기록);날짜;시간
3180;1538450989823;2018. 10. 2.;12시 29분 49초
3404;1538458900147;2018. 10. 2.;14시 41분 40초
5237;1538474599381;2018. 10. 2.;19시 3분 19초
7113;1538484363072;2018. 10. 2.;21시 46분 3초
7113;1538489855299;2018. 10. 2.;23시 17분 35초
7113;1538491401023;2018. 10. 2.;23시 43분 21초
0;1538582214740;2018. 10. 4.;0시 56분 54초
0;1538584972794;2018. 10. 4.;1시 42분 52초
0;1538585680416;2018. 10. 4.;1시 54분 40초
0;1538586315726;2018. 10. 4.;2시 5분 15초
0;1538586920185;2018. 10. 4.;2시 15분 20초
0;1538587560854;2018. 10. 4.;2시 26분 0초
0;1538588161166;2018. 10. 4.;2시 36분 1초
0;1538588765555;2018. 10. 4.;2시 46분 5초
0;1538589376802;2018. 10. 4.;2시 56분 16초
11;1538590020927;2018. 10. 4.;3시 7분 0초
11;1538590681081;2018. 10. 4.;3시 18분 1초
11;1538591288995;2018. 10. 4.;3시 28분 8초
11;1538591903791;2018. 10. 4.;3시 38분 23초
11;1538592512903;2018. 10. 4.;3시 48분 32초
11;1538593134322;2018. 10. 4.;3시 58분 54초
11;1538593743026;2018. 10. 4.;4시 9분 3초
11;1538594351102;2018. 10. 4.;4시 19분 11초
11;1538594959175;2018. 10. 4.;4시 29분 19초
11;1538595567244;2018. 10. 4.;4시 39분 27초
11;1538596175322;2018. 10. 4.;4시 49분 35초
11;1538596794785;2018. 10. 4.;4시 59분 54초
11;1538597438570;2018. 10. 4.;5시 10분 38초
11;1538598062172;2018. 10. 4.;5시 21분 2초
11;1538598675937;2018. 10. 4.;5시 31분 15초
11;1538599278319;2018. 10. 4.;5시 41분 18초
11;1538599920981;2018. 10. 4.;5시 52분 0초
11;1538600532141;2018. 10. 4.;6시 2분 12초
11;1538601144462;2018. 10. 4.;6시 12분 24초
11;1538601763921;2018. 10. 4.;6시 22분 43초
11;1538602381835;2018. 10. 4.;6시 33분 1초
11;1538603040960;2018. 10. 4.;6시 44분 0초
11;1538603648293;2018. 10. 4.;6시 54분 8초
63;1538604304618;2018. 10. 4.;7시 5분 4초
75;1538604967725;2018. 10. 4.;7시 16분 7초
75;1538605859403;2018. 10. 4.;7시 30분 59초
75;1538607058983;2018. 10. 4.;7시 50분 58초
50;1538670840000;2018. 10. 5.;1시 34분 0초
15;1538671440000;2018. 10. 5.;1시 44분 0초
15;1538672040000;2018. 10. 5.;1시 54분 0초
15;1538672640000;2018. 10. 5.;2시 4분 0초
15;1538673240000;2018. 10. 5.;2시 14분 0초
15;1538673840000;2018. 10. 5.;2시 24분 0초
15;1538674440000;2018. 10. 5.;2시 34분 0초
15;1538675040000;2018. 10. 5.;2시 44분 0초
15;1538675640000;2018. 10. 5.;2시 54분 0초
15;1538676240000;2018. 10. 5.;3시 4분 0초
15;1538676840000;2018. 10. 5.;3시 14분 0초
15;1538677440000;2018. 10. 5.;3시 24분 0초
15;1538678040000;2018. 10. 5.;3시 34분 0초
15;1538678640000;2018. 10. 5.;3시 44분 0초
15;1538679240000;2018. 10. 5.;3시 54분 0초
15;1538679840000;2018. 10. 5.;4시 4분 0초
15;1538680440000;2018. 10. 5.;4시 14분 0초
15;1538681040000;2018. 10. 5.;4시 24분 0초
15;1538681640000;2018. 10. 5.;4시 34분 0초
15;1538682240000;2018. 10. 5.;4시 44분 0초
15;1538682840000;2018. 10. 5.;4시 54분 0초
15;1538683440000;2018. 10. 5.;5시 4분 0초
15;1538684040000;2018. 10. 5.;5시 14분 0초
15;1538684640000;2018. 10. 5.;5시 24분 0초
15;1538685240000;2018. 10. 5.;5시 34분 0초
15;1538685840000;2018. 10. 5.;5시 44분 0초
15;1538686440000;2018. 10. 5.;5시 54분 0초
15;1538687040000;2018. 10. 5.;6시 4분 0초
15;1538687640000;2018. 10. 5.;6시 14분 0초
15;1538688240000;2018. 10. 5.;6시 24분 0초
15;1538688840000;2018. 10. 5.;6시 34분 0초
15;1538689440000;2018. 10. 5.;6시 44분 0초
15;1538690040000;2018. 10. 5.;6시 54분 0초
15;1538690640000;2018. 10. 5.;7시 4분 0초
15;1538691240000;2018. 10. 5.;7시 14분 0초
15;1538691840000;2018. 10. 5.;7시 24분 0초
15;1538692440000;2018. 10. 5.;7시 34분 0초
15;1538693040000;2018. 10. 5.;7시 44분 0초
15;1538693640000;2018. 10. 5.;7시 54분 0초
15;1538694240000;2018. 10. 5.;8시 4분 0초
15;1538694840000;2018. 10. 5.;8시 14분 0초
15;1538695440000;2018. 10. 5.;8시 24분 0초
15;1538696040000;2018. 10. 5.;8시 34분 0초
15;1538696640000;2018. 10. 5.;8시 44분 0초
15;1538697240000;2018. 10. 5.;8시 54분 0초
15;1538697840000;2018. 10. 5.;9시 4분 0초
15;1538698440000;2018. 10. 5.;9시 14분 0초
15;1538699040000;2018. 10. 5.;9시 24분 0초
15;1538699640000;2018. 10. 5.;9시 34분 0초
92;1538700240000;2018. 10. 5.;9시 44분 0초
364;1538700840000;2018. 10. 5.;9시 54분 0초
643;1538701440000;2018. 10. 5.;10시 4분 0초
643;1538702040000;2018. 10. 5.;10시 14분 0초
643;1538702640000;2018. 10. 5.;10시 24분 0초
643;1538703240000;2018. 10. 5.;10시 34분 0초
894;1538703840000;2018. 10. 5.;10시 44분 0초
894;1538704440000;2018. 10. 5.;10시 54분 0초
1278;1538705040000;2018. 10. 5.;11시 4분 0초
1771;1538705640000;2018. 10. 5.;11시 14분 0초
1808;1538706240000;2018. 10. 5.;11시 24분 0초
1808;1538706840000;2018. 10. 5.;11시 34분 0초
1992;1538707440000;2018. 10. 5.;11시 44분 0초
2303;1538708040000;2018. 10. 5.;11시 54분 0초
2765;1538708640000;2018. 10. 5.;12시 4분 0초
2765;1538709240000;2018. 10. 5.;12시 14분 0초
2765;1538709840000;2018. 10. 5.;12시 24분 0초
2765;1538710440000;2018. 10. 5.;12시 34분 0초
2765;1538711040000;2018. 10. 5.;12시 44분 0초
2765;1538711640000;2018. 10. 5.;12시 54분 0초
2765;1538712240000;2018. 10. 5.;13시 4분 0초
2893;1538712840000;2018. 10. 5.;13시 14분 0초
3242;1538713440000;2018. 10. 5.;13시 24분 0초
3242;1538714040000;2018. 10. 5.;13시 34분 0초
3242;1538714640000;2018. 10. 5.;13시 44분 0초
3242;1538715240000;2018. 10. 5.;13시 54분 0초
3242;1538715840000;2018. 10. 5.;14시 4분 0초
3242;1538716440000;2018. 10. 5.;14시 14분 0초
3242;1538717040000;2018. 10. 5.;14시 24분 0초
3242;1538717640000;2018. 10. 5.;14시 34분 0초
3498;1538718240000;2018. 10. 5.;14시 44분 0초
3994;1538718840000;2018. 10. 5.;14시 54분 0초
4278;1538719440000;2018. 10. 5.;15시 4분 0초
4278;1538720040000;2018. 10. 5.;15시 14분 0초
4278;1538720640000;2018. 10. 5.;15시 24분 0초
4375;1538721240000;2018. 10. 5.;15시 34분 0초
4375;1538721840000;2018. 10. 5.;15시 44분 0초
4375;1538722440000;2018. 10. 5.;15시 54분 0초
4375;1538723040000;2018. 10. 5.;16시 4분 0초
4375;1538723640000;2018. 10. 5.;16시 14분 0초
4375;1538724240000;2018. 10. 5.;16시 24분 0초
4375;1538724840000;2018. 10. 5.;16시 34분 0초
4375;1538725440000;2018. 10. 5.;16시 44분 0초
4375;1538726040000;2018. 10. 5.;16시 54분 0초
4500;1538726640000;2018. 10. 5.;17시 4분 0초
4779;1538727240000;2018. 10. 5.;17시 14분 0초
4779;1538727840000;2018. 10. 5.;17시 24분 0초
4779;1538728440000;2018. 10. 5.;17시 34분 0초
4862;1538729040000;2018. 10. 5.;17시 44분 0초
5011;1538729640000;2018. 10. 5.;17시 54분 0초
5059;1538730240000;2018. 10. 5.;18시 4분 0초
5397;1538730840000;2018. 10. 5.;18시 14분 0초
5830;1538731440000;2018. 10. 5.;18시 24분 0초
6126;1538732040000;2018. 10. 5.;18시 34분 0초
6433;1538732640000;2018. 10. 5.;18시 44분 0초
6433;1538733240000;2018. 10. 5.;18시 54분 0초
6433;1538733840000;2018. 10. 5.;19시 4분 0초
6933;1538734440000;2018. 10. 5.;19시 14분 0초
7316;1538735040000;2018. 10. 5.;19시 24분 0초
7334;1538735640000;2018. 10. 5.;19시 34분 0초
7334;1538736240000;2018. 10. 5.;19시 44분 0초
7334;1538736840000;2018. 10. 5.;19시 54분 0초
7334;1538737440000;2018. 10. 5.;20시 4분 0초
7334;1538738040000;2018. 10. 5.;20시 14분 0초
7334;1538738640000;2018. 10. 5.;20시 24분 0초
7334;1538739240000;2018. 10. 5.;20시 34분 0초
7334;1538739840000;2018. 10. 5.;20시 44분 0초
7334;1538740440000;2018. 10. 5.;20시 54분 0초
7334;1538741040000;2018. 10. 5.;21시 4분 0초
7334;1538741640000;2018. 10. 5.;21시 14분 0초
7415;1538742240000;2018. 10. 5.;21시 24분 0초
8037;1538742840000;2018. 10. 5.;21시 34분 0초
8062;1538743440000;2018. 10. 5.;21시 44분 0초
8062;1538744040000;2018. 10. 5.;21시 54분 0초
8062;1538744640000;2018. 10. 5.;22시 4분 0초
8111;1538745240000;2018. 10. 5.;22시 14분 0초
8156;1538745840000;2018. 10. 5.;22시 24분 0초
8156;1538746440000;2018. 10. 5.;22시 34분 0초
8621;1538747040000;2018. 10. 5.;22시 44분 0초
