걸음수;타임스탬프(기록);날짜;시간
146;1551402060000;2019. 3. 1.;10시 1분 0초
146;1551402660000;2019. 3. 1.;10시 11분 0초
146;1551403260000;2019. 3. 1.;10시 21분 0초
146;1551403860000;2019. 3. 1.;10시 31분 0초
146;1551404460000;2019. 3. 1.;10시 41분 0초
146;1551405060000;2019. 3. 1.;10시 51분 0초
146;1551405660000;2019. 3. 1.;11시 1분 0초
146;1551406260000;2019. 3. 1.;11시 11분 0초
146;1551406860000;2019. 3. 1.;11시 21분 0초
310;1551407460000;2019. 3. 1.;11시 31분 0초
516;1551408060000;2019. 3. 1.;11시 41분 0초
713;1551408660000;2019. 3. 1.;11시 51분 0초
810;1551409260000;2019. 3. 1.;12시 1분 0초
810;1551409860000;2019. 3. 1.;12시 11분 0초
823;1551410460000;2019. 3. 1.;12시 21분 0초
823;1551411060000;2019. 3. 1.;12시 31분 0초
823;1551411660000;2019. 3. 1.;12시 41분 0초
823;1551412260000;2019. 3. 1.;12시 51분 0초
902;1551412860000;2019. 3. 1.;13시 1분 0초
945;1551413460000;2019. 3. 1.;13시 11분 0초
1009;1551414060000;2019. 3. 1.;13시 21분 0초
1044;1551414660000;2019. 3. 1.;13시 31분 0초
1149;1551415260000;2019. 3. 1.;13시 41분 0초
1258;1551415860000;2019. 3. 1.;13시 51분 0초
1365;1551416460000;2019. 3. 1.;14시 1분 0초
1847;1551417060000;2019. 3. 1.;14시 11분 0초
2181;1551417660000;2019. 3. 1.;14시 21분 0초
2181;1551418260000;2019. 3. 1.;14시 31분 0초
2181;1551418860000;2019. 3. 1.;14시 41분 0초
2181;1551419460000;2019. 3. 1.;14시 51분 0초
2181;1551420060000;2019. 3. 1.;15시 1분 0초
2181;1551420660000;2019. 3. 1.;15시 11분 0초
2307;1551421260000;2019. 3. 1.;15시 21분 0초
2307;1551421860000;2019. 3. 1.;15시 31분 0초
2307;1551422460000;2019. 3. 1.;15시 41분 0초
2307;1551423060000;2019. 3. 1.;15시 51분 0초
2307;1551423660000;2019. 3. 1.;16시 1분 0초
2307;1551424260000;2019. 3. 1.;16시 11분 0초
2419;1551424860000;2019. 3. 1.;16시 21분 0초
2419;1551425460000;2019. 3. 1.;16시 31분 0초
2419;1551426060000;2019. 3. 1.;16시 41분 0초
2419;1551426660000;2019. 3. 1.;16시 51분 0초
2419;1551427260000;2019. 3. 1.;17시 1분 0초
2419;1551427860000;2019. 3. 1.;17시 11분 0초
2419;1551428460000;2019. 3. 1.;17시 21분 0초
2419;1551429060000;2019. 3. 1.;17시 31분 0초
2419;1551429660000;2019. 3. 1.;17시 41분 0초
2419;1551430260000;2019. 3. 1.;17시 51분 0초
2511;1551430860000;2019. 3. 1.;18시 1분 0초
2931;1551431460000;2019. 3. 1.;18시 11분 0초
3079;1551432060000;2019. 3. 1.;18시 21분 0초
3784;1551432660000;2019. 3. 1.;18시 31분 0초
4359;1551433260000;2019. 3. 1.;18시 41분 0초
4405;1551433860000;2019. 3. 1.;18시 51분 0초
4405;1551434460000;2019. 3. 1.;19시 1분 0초
4405;1551435060000;2019. 3. 1.;19시 11분 0초
4405;1551435660000;2019. 3. 1.;19시 21분 0초
4443;1551436260000;2019. 3. 1.;19시 31분 0초
4971;1551436860000;2019. 3. 1.;19시 41분 0초
5334;1551437460000;2019. 3. 1.;19시 51분 0초
5414;1551438060000;2019. 3. 1.;20시 1분 0초
5751;1551438660000;2019. 3. 1.;20시 11분 0초
6420;1551439260000;2019. 3. 1.;20시 21분 0초
6968;1551439860000;2019. 3. 1.;20시 31분 0초
7322;1551440460000;2019. 3. 1.;20시 41분 0초
7515;1551441060000;2019. 3. 1.;20시 51분 0초
7515;1551441660000;2019. 3. 1.;21시 1분 0초
7515;1551442260000;2019. 3. 1.;21시 11분 0초
7515;1551442860000;2019. 3. 1.;21시 21분 0초
7515;1551443460000;2019. 3. 1.;21시 31분 0초
7515;1551444060000;2019. 3. 1.;21시 41분 0초
7515;1551444660000;2019. 3. 1.;21시 51분 0초
7515;1551445260000;2019. 3. 1.;22시 1분 0초
7515;1551445860000;2019. 3. 1.;22시 11분 0초
7515;1551446460000;2019. 3. 1.;22시 21분 0초
7515;1551447060000;2019. 3. 1.;22시 31분 0초
7515;1551447660000;2019. 3. 1.;22시 41분 0초
8000;1551448260000;2019. 3. 1.;22시 51분 0초
8133;1551448860000;2019. 3. 1.;23시 1분 0초
8133;1551449460000;2019. 3. 1.;23시 11분 0초
8133;1551450060000;2019. 3. 1.;23시 21분 0초
8133;1551450660000;2019. 3. 1.;23시 31분 0초
8154;1551451260000;2019. 3. 1.;23시 41분 0초
8260;1551451860000;2019. 3. 1.;23시 51분 0초
8282;1551452340000;2019. 3. 1.;23시 59분 0초
15;1551452536290;2019. 3. 2.;0시 2분 16초
92;1551452940000;2019. 3. 2.;0시 9분 0초
120;1551453540000;2019. 3. 2.;0시 19분 0초
120;1551454140000;2019. 3. 2.;0시 29분 0초
120;1551454740000;2019. 3. 2.;0시 39분 0초
120;1551455340000;2019. 3. 2.;0시 49분 0초
120;1551455940000;2019. 3. 2.;0시 59분 0초
120;1551456540000;2019. 3. 2.;1시 9분 0초
120;1551457140000;2019. 3. 2.;1시 19분 0초
120;1551457740000;2019. 3. 2.;1시 29분 0초
120;1551458340000;2019. 3. 2.;1시 39분 0초
120;1551458940000;2019. 3. 2.;1시 49분 0초
120;1551459540000;2019. 3. 2.;1시 59분 0초
120;1551460140000;2019. 3. 2.;2시 9분 0초
120;1551460740000;2019. 3. 2.;2시 19분 0초
120;1551461340000;2019. 3. 2.;2시 29분 0초
120;1551461940000;2019. 3. 2.;2시 39분 0초
120;1551462540000;2019. 3. 2.;2시 49분 0초
120;1551463140000;2019. 3. 2.;2시 59분 0초
120;1551463740000;2019. 3. 2.;3시 9분 0초
120;1551464340000;2019. 3. 2.;3시 19분 0초
120;1551464940000;2019. 3. 2.;3시 29분 0초
120;1551465540000;2019. 3. 2.;3시 39분 0초
120;1551466140000;2019. 3. 2.;3시 49분 0초
120;1551466740000;2019. 3. 2.;3시 59분 0초
120;1551467340000;2019. 3. 2.;4시 9분 0초
120;1551467940000;2019. 3. 2.;4시 19분 0초
120;1551468540000;2019. 3. 2.;4시 29분 0초
120;1551469140000;2019. 3. 2.;4시 39분 0초
120;1551469740000;2019. 3. 2.;4시 49분 0초
120;1551470340000;2019. 3. 2.;4시 59분 0초
120;1551470940000;2019. 3. 2.;5시 9분 0초
120;1551471540000;2019. 3. 2.;5시 19분 0초
120;1551472140000;2019. 3. 2.;5시 29분 0초
120;1551472740000;2019. 3. 2.;5시 39분 0초
120;1551473340000;2019. 3. 2.;5시 49분 0초
120;1551473940000;2019. 3. 2.;5시 59분 0초
120;1551474540000;2019. 3. 2.;6시 9분 0초
120;1551475140000;2019. 3. 2.;6시 19분 0초
120;1551475740000;2019. 3. 2.;6시 29분 0초
120;1551476340000;2019. 3. 2.;6시 39분 0초
120;1551476940000;2019. 3. 2.;6시 49분 0초
120;1551477540000;2019. 3. 2.;6시 59분 0초
120;1551478140000;2019. 3. 2.;7시 9분 0초
120;1551478740000;2019. 3. 2.;7시 19분 0초
120;1551479340000;2019. 3. 2.;7시 29분 0초
120;1551479940000;2019. 3. 2.;7시 39분 0초
120;1551480540000;2019. 3. 2.;7시 49분 0초
120;1551481140000;2019. 3. 2.;7시 59분 0초
120;1551481740000;2019. 3. 2.;8시 9분 0초
