걸음;타임스탬프;날짜;시간
880;1539219660000;2018. 10. 11.;오전 10:01:00
880;1539220260000;2018. 10. 11.;오전 10:11:00
880;1539220860000;2018. 10. 11.;오전 10:21:00
880;1539221460000;2018. 10. 11.;오전 10:31:00
880;1539222060000;2018. 10. 11.;오전 10:41:00
880;1539222660000;2018. 10. 11.;오전 10:51:00
1072;1539223260000;2018. 10. 11.;오전 11:01:00
1849;1539223860000;2018. 10. 11.;오전 11:11:00
2536;1539224460000;2018. 10. 11.;오전 11:21:00
2536;1539225060000;2018. 10. 11.;오전 11:31:00
2536;1539225660000;2018. 10. 11.;오전 11:41:00
2554;1539226260000;2018. 10. 11.;오전 11:51:00
2668;1539226860000;2018. 10. 11.;오후 12:01:00
2668;1539227460000;2018. 10. 11.;오후 12:11:00
2668;1539228060000;2018. 10. 11.;오후 12:21:00
2668;1539228660000;2018. 10. 11.;오후 12:31:00
2668;1539229260000;2018. 10. 11.;오후 12:41:00
2668;1539229860000;2018. 10. 11.;오후 12:51:00
2973;1539230460000;2018. 10. 11.;오후 1:01:00
3487;1539231060000;2018. 10. 11.;오후 1:11:00
3497;1539231660000;2018. 10. 11.;오후 1:21:00
4047;1539232260000;2018. 10. 11.;오후 1:31:00
4152;1539232860000;2018. 10. 11.;오후 1:41:00
4152;1539233460000;2018. 10. 11.;오후 1:51:00
4152;1539234060000;2018. 10. 11.;오후 2:01:00
4152;1539234660000;2018. 10. 11.;오후 2:11:00
4152;1539235260000;2018. 10. 11.;오후 2:21:00
4152;1539235860000;2018. 10. 11.;오후 2:31:00
4152;1539236460000;2018. 10. 11.;오후 2:41:00
4152;1539237060000;2018. 10. 11.;오후 2:51:00
4152;1539237660000;2018. 10. 11.;오후 3:01:00
4533;1539238260000;2018. 10. 11.;오후 3:11:00
4847;1539238860000;2018. 10. 11.;오후 3:21:00
4997;1539239460000;2018. 10. 11.;오후 3:31:00
4997;1539240060000;2018. 10. 11.;오후 3:41:00
4997;1539240660000;2018. 10. 11.;오후 3:51:00
4997;1539241260000;2018. 10. 11.;오후 4:01:00
4997;1539241860000;2018. 10. 11.;오후 4:11:00
4997;1539242460000;2018. 10. 11.;오후 4:21:00
4997;1539243060000;2018. 10. 11.;오후 4:31:00
4997;1539243660000;2018. 10. 11.;오후 4:41:00
5025;1539244260000;2018. 10. 11.;오후 4:51:00
5048;1539244860000;2018. 10. 11.;오후 5:01:00
5048;1539245460000;2018. 10. 11.;오후 5:11:00
5048;1539246060000;2018. 10. 11.;오후 5:21:00
5048;1539246660000;2018. 10. 11.;오후 5:31:00
5087;1539247260000;2018. 10. 11.;오후 5:41:00
5087;1539247860000;2018. 10. 11.;오후 5:51:00
5115;1539248460000;2018. 10. 11.;오후 6:01:00
5136;1539249060000;2018. 10. 11.;오후 6:11:00
5136;1539249660000;2018. 10. 11.;오후 6:21:00
5257;1539250260000;2018. 10. 11.;오후 6:31:00
5406;1539250860000;2018. 10. 11.;오후 6:41:00
5406;1539251460000;2018. 10. 11.;오후 6:51:00
5406;1539252060000;2018. 10. 11.;오후 7:01:00
5406;1539252660000;2018. 10. 11.;오후 7:11:00
5406;1539253260000;2018. 10. 11.;오후 7:21:00
5936;1539253860000;2018. 10. 11.;오후 7:31:00
6131;1539254460000;2018. 10. 11.;오후 7:41:00
6208;1539255060000;2018. 10. 11.;오후 7:51:00
6600;1539255660000;2018. 10. 11.;오후 8:01:00
6600;1539256260000;2018. 10. 11.;오후 8:11:00
6600;1539256860000;2018. 10. 11.;오후 8:21:00
6600;1539257460000;2018. 10. 11.;오후 8:31:00
6600;1539258060000;2018. 10. 11.;오후 8:41:00
6600;1539258660000;2018. 10. 11.;오후 8:51:00
6600;1539259260000;2018. 10. 11.;오후 9:01:00
6600;1539259860000;2018. 10. 11.;오후 9:11:00
6915;1539260460000;2018. 10. 11.;오후 9:21:00
7218;1539261060000;2018. 10. 11.;오후 9:31:00
7229;1539261660000;2018. 10. 11.;오후 9:41:00
7320;1539262260000;2018. 10. 11.;오후 9:51:00
7350;1539262860000;2018. 10. 11.;오후 10:01:00
7409;1539263460000;2018. 10. 11.;오후 10:11:00
7409;1539264060000;2018. 10. 11.;오후 10:21:00
7409;1539264660000;2018. 10. 11.;오후 10:31:00
7409;1539265260000;2018. 10. 11.;오후 10:41:00
7409;1539265860000;2018. 10. 11.;오후 10:51:00
7794;1539266460000;2018. 10. 11.;오후 11:01:00
7794;1539267060000;2018. 10. 11.;오후 11:11:00
8095;1539267660000;2018. 10. 11.;오후 11:21:00
8161;1539268260000;2018. 10. 11.;오후 11:31:00
8274;1539268860000;2018. 10. 11.;오후 11:41:00
8839;1539269460000;2018. 10. 11.;오후 11:51:00
